iter	Passed	Remaining
660	14182	7273
661	14204	7252
662	14225	7230
663	14244	7208
664	14265	7186
665	14285	7164
666	14305	7141
667	14324	7119
668	14345	7097
669	14367	7076
670	14389	7055
671	14410	7033
672	14432	7012
673	14453	6990
674	14474	6969
675	14495	6947
676	14515	6925
677	14537	6904
678	14559	6882
679	14581	6862
680	14604	6841
681	14629	6821
682	14651	6800
683	14672	6778
684	14693	6757
685	14714	6735
686	14736	6713
687	14757	6692
688	14777	6670
689	14797	6648
690	14817	6626
691	14837	6604
692	14859	6582
693	14880	6560
694	14900	6539
695	14920	6516
696	14940	6494
697	14960	6473
698	14981	6451
699	15001	6429
700	15012	6403
701	15031	6380
702	15051	6358
703	15072	6337
704	15096	6317
705	15118	6295
706	15139	6274
707	15160	6252
708	15180	6230
709	15200	6208
710	15219	6186
711	15239	6164
712	15259	6142
713	15278	6120
714	15298	6097
715	15317	6075
716	15336	6053
717	15355	6031
718	15376	6009
719	15395	5987
720	15415	5965
721	15435	5943
722	15454	5921
723	15473	5898
724	15494	5877
725	15513	5854
726	15533	5832
727	15553	5811
728	15574	5789
729	15594	5767
730	15614	5745
731	15634	5724
732	15654	5702
733	15675	5680
734	15694	5658
735	15714	5636
736	15736	5615
737	15757	5594
738	15777	5572
739	15788	5547
740	15807	5525
741	15827	5503
742	15847	5481
743	15867	5459
744	15886	5437
745	15906	5415
746	15926	5394
747	15945	5371
748	15965	5350
749	15985	5328
750	16005	5306
751	16025	5284
752	16045	5263
753	16064	5241
754	16084	5219
755	16104	5197
756	16125	5176
757	16150	5156
758	16170	5134
759	16190	5112
760	16210	5091
761	16229	5069
762	16250	5047
763	16271	5026
764	16289	5004
765	16309	4982
766	16329	4960
767	16349	4938
768	16369	4917
769	16389	4895
770	16407	4873
771	16426	4851
772	16446	4829
773	16467	4808
774	16486	4786
775	16507	4764
776	16529	4744
777	16550	4722
778	16569	4700
779	16592	4679
780	16612	4658
781	16634	4637
782	16655	4615
783	16674	4594
784	16694	4572
785	16715	4551
786	16735	4529
787	16754	4507
788	16774	4485
789	16793	4464
790	16813	4442
791	16834	4421
792	16853	4399
793	16872	4377
794	16929	4365
795	16949	4343
796	16967	4321
797	16987	4299
798	17007	4278
799	17027	4256
800	17048	4235
801	17067	4213
802	17102	4195
803	17139	4178
804	17159	4156
805	17178	4134
806	17189	4110
807	17208	4089
808	17228	4067
809	17246	4045
810	17265	4023
811	17284	4001
812	17305	3980
813	17324	3958
814	17344	3937
815	17364	3915
816	17384	3893
817	17404	3872
818	17423	3850
819	17443	3828
820	17462	3807
821	17481	3785
822	17501	3763
823	17521	3742
824	17542	3721
825	17562	3699
826	17581	3677
827	17602	3656
828	17624	3635
829	17645	3614
830	17666	3592
831	17686	3571
832	17707	3549
833	17727	3528
834	17746	3506
835	17765	3485
836	17784	3463
837	17804	3441
838	17823	3420
839	17842	3398
840	17861	3376
841	17881	3355
842	17900	3333
843	17919	3312
844	17939	3290
845	17958	3268
846	17978	3247
847	17998	3226
848	18018	3204
849	18039	3183
850	18058	3161
851	18078	3140
852	18098	3118
853	18117	3097
854	18142	3076
855	18163	3055
856	18183	3034
857	18203	3012
858	18223	2991
859	18243	2969
860	18262	2948
861	18283	2927
862	18303	2905
863	18322	2884
864	18341	2862
865	18361	2841
866	18382	2819
867	18402	2798
868	18420	2776
869	18440	2755
870	18460	2734
871	18479	2712
872	18499	2691
873	18519	2669
874	18538	2648
875	18557	2626
876	18577	2605
877	18602	2584
878	18621	2563
879	18642	2542
880	18661	2520
881	18682	2499
882	18702	2478
883	18723	2456
884	18742	2435
885	18762	2414
886	18783	2392
887	18801	2371
888	18822	2350
889	18842	2328
890	18861	2307
891	18884	2286
892	18904	2265
893	18925	2243
894	18946	2222
895	18966	2201
896	18987	2180
897	19007	2158
898	19027	2137
899	19047	2116
900	19066	2095
901	19086	2073
902	19106	2052
903	19125	2031
904	19145	2009
905	19164	1988
906	19183	1966
907	19202	1945
908	19221	1924
909	19240	1902
910	19260	1881
911	19279	1860
912	19298	1838
913	19318	1817
914	19338	1796
915	19357	1775
916	19377	1753
917	19396	1732
918	19418	1711
919	19440	1690
920	19458	1669
921	19477	1647
922	19497	1626
923	19517	1605
924	19538	1584
925	19559	1563
926	19578	1541
927	19598	1520
928	19618	1499
929	19639	1478
930	19658	1456
931	19677	1435
932	19696	1414
933	19716	1393
934	19736	1372
935	19756	1350
936	19775	1329
937	19794	1308
938	19814	1287
939	19833	1265
940	19852	1244
941	19872	1223
942	19890	1202
943	19911	1181
944	19930	1159
945	19950	1138
946	19970	1117
947	19989	1096
948	20010	1075
949	20031	1054
950	20051	1033
951	20071	1012
952	20090	990
953	20109	969
